fold,ranking_method,top_n,top_n_label,line_reference,market_intercept,market_beta,signal_intercept,signal_market_beta,gamma,train_games,selected_models
2,wilson,10,10,Midweek,0.11848118628663834,0.9667881297282778,0.11893834210376775,0.9655683168957769,-0.019624812132506567,1695,10
2,wilson,15,15,Midweek,0.11848118628663834,0.9667881297282778,0.1243571815513946,0.9477549983081195,-0.13581634460191352,1695,15
2,wilson,20,20,Midweek,0.11848118628663834,0.9667881297282778,0.12220345695887162,0.9520118041212075,-0.1506628439283115,1695,20
2,wilson,25,25,Midweek,0.11848118628663834,0.9667881297282778,0.11556014544823531,0.9484768824643243,-0.1647253654796727,1695,25
2,wilson,35,35,Midweek,0.11848118628663834,0.9667881297282778,0.10720522206505316,0.9453673605451375,-0.20941646152392948,1695,35
2,wilson,999,All,Midweek,0.11848118628663834,0.9667881297282778,0.10552109742367197,0.9450181666708828,-0.2400941149758713,1695,58
2,mae,3,3,Midweek,-0.661661552339372,1.000816106630844,-0.4120935437321913,1.019462351146725,0.415724846045648,112,3
2,mae,5,5,Midweek,-0.661661552339372,1.000816106630844,-0.7143886404173475,0.9941372946112481,-0.11540470955414922,112,5
2,mae,8,8,Midweek,0.12439042541887071,0.9669855133591279,0.12826179660884396,0.9680957477900445,0.02411875858732726,1694,8
2,mae,10,10,Midweek,0.11848118628663834,0.9667881297282778,0.1136438750066464,0.9659474723431773,-0.03400011249617557,1695,10
2,mae,15,15,Midweek,0.11848118628663834,0.9667881297282778,0.120659293263034,0.9671114333791667,0.013484345367734962,1695,15
2,mae,20,20,Midweek,0.11848118628663834,0.9667881297282778,0.10873424163381065,0.9646058741377936,-0.06242933660423017,1695,20
2,mae,25,25,Midweek,0.11848118628663834,0.9667881297282778,0.10501464144348963,0.9629787680443338,-0.07807806976157988,1695,25
2,mae,35,35,Midweek,0.11848118628663834,0.9667881297282778,0.10015100846515951,0.9595543561040918,-0.12810368654488885,1695,35
2,mae,999,All,Midweek,0.11848118628663834,0.9667881297282778,0.1055210974236719,0.945018166670883,-0.2400941149758714,1695,58
2,incremental,3,3,Midweek,-0.661661552339372,1.000816106630844,-0.6500701344829249,1.0038407801703033,0.062033485087473084,112,3
2,incremental,5,5,Midweek,0.11848118628663834,0.9667881297282778,0.12827427717564663,0.9746425422487935,0.07500507465020478,1695,5
2,incremental,8,8,Midweek,0.11848118628663834,0.9667881297282778,0.11996400453374413,0.970477805436843,0.021097526269170146,1695,8
2,incremental,10,10,Midweek,0.11848118628663834,0.9667881297282778,0.11914772458038314,0.9604095737030456,-0.03100303866350876,1695,10
2,incremental,15,15,Midweek,0.11848118628663834,0.9667881297282778,0.11871984490862925,0.9674264217393214,0.004423991441713001,1695,15
2,incremental,20,20,Midweek,0.11848118628663834,0.9667881297282778,0.117035866902597,0.9615821754123874,-0.03765585037468125,1695,20
2,incremental,25,25,Midweek,0.11848118628663834,0.9667881297282778,0.1120375373122607,0.950055339770242,-0.10521529156438097,1695,25
2,incremental,35,35,Midweek,0.11848118628663834,0.9667881297282778,0.11023592929847903,0.9495054145475379,-0.13703312548940708,1695,35
2,incremental,999,All,Midweek,0.11848118628663834,0.9667881297282778,0.10552109742367197,0.945018166670883,-0.24009411497587219,1695,58
2,wilson,3,3,Close (PT Updated/final),0.16572675832218384,0.9516382980459155,0.17386287492137392,0.9574693371010605,0.05088823768421613,628,3
2,wilson,5,5,Close (PT Updated/final),0.14752991789424225,0.9654640406714826,0.14748419698686333,0.9651071408037546,-0.00636780961934854,1688,5
2,wilson,8,8,Close (PT Updated/final),0.15816915748144594,0.9683020577873387,0.16180892646437917,0.9649176068087852,-0.06228354913555442,1695,8
