source_row,season,week,away,home,picker,candidate_matches,reason
2372,2023,3,Troy,Kansas State,SportsLine,0,no_match
2373,2023,3,Troy,Kansas State,TShoe Index,0,no_match
2374,2023,3,Troy,Kansas State,TeamRankings,0,no_match
2375,2023,3,Troy,Kansas State,Wilson Ratings,0,no_match
2581,2023,3,Western Michigan,Syracuse,Beta_Rank,0,no_match
2582,2023,3,Western Michigan,Syracuse,Blake Atkinson,0,no_match
2583,2023,3,Western Michigan,Syracuse,CBCR2: Power,0,no_match
2584,2023,3,Western Michigan,Syracuse,CBCR2: Sam,0,no_match
2585,2023,3,Western Michigan,Syracuse,CFB Geek,0,no_match
2586,2023,3,Western Michigan,Syracuse,CFB Graphs,0,no_match
2587,2023,3,Western Michigan,Syracuse,Congrove,0,no_match
2588,2023,3,Western Michigan,Syracuse,DRatings,0,no_match
2589,2023,3,Western Michigan,Syracuse,Dokter Entropy,0,no_match
2590,2023,3,Western Michigan,Syracuse,ESPN FPI,0,no_match
2591,2023,3,Western Michigan,Syracuse,FEI,0,no_match
2592,2023,3,Western Michigan,Syracuse,Harville,0,no_match
2593,2023,3,Western Michigan,Syracuse,JP+,0,no_match
2594,2023,3,Western Michigan,Syracuse,KFord,0,no_match
2595,2023,3,Western Michigan,Syracuse,Keeper,0,no_match
2596,2023,3,Western Michigan,Syracuse,Massey,0,no_match
